project,cve,cwe,commit_sha,is_file_vulnerable,is_function_vulnerable,file_name,function_name,function_start_line,function_end_line,function_nloc
git/git,CVE-2016-2324,664,bd64516aca4d4e22acb33c71429d293a14d355cf,True,True,list-objects.c,process_tree,62,124,57
git/git,CVE-2016-2324,664,bd64516aca4d4e22acb33c71429d293a14d355cf,True,True,list-objects.c,process_blob,11,28,17
git/git,CVE-2016-2324,664,bd64516aca4d4e22acb33c71429d293a14d355cf,True,True,pack-bitmap.c,show_object,417,432,13
git/git,CVE-2016-2324,664,bd64516aca4d4e22acb33c71429d293a14d355cf,True,False,list-objects.c,process_gitlink,52,60,8
git/git,CVE-2016-2324,664,bd64516aca4d4e22acb33c71429d293a14d355cf,True,True,builtin/rev-list.c,show_object,191,200,10
git/git,CVE-2016-2324,664,bd64516aca4d4e22acb33c71429d293a14d355cf,True,False,list-objects.h,,-1,-1,-1
git/git,CVE-2016-2324,664,bd64516aca4d4e22acb33c71429d293a14d355cf,True,True,pack-bitmap-write.c,show_object,151,157,7
git/git,CVE-2016-2324,664,bd64516aca4d4e22acb33c71429d293a14d355cf,True,True,builtin/rev-list.c,finish_object,180,189,10
git/git,CVE-2016-2324,664,bd64516aca4d4e22acb33c71429d293a14d355cf,True,True,builtin/pack-objects.c,show_object,2287,2302,10
git/git,CVE-2016-2324,664,bd64516aca4d4e22acb33c71429d293a14d355cf,True,True,revision.c,path_name,28,35,8
git/git,CVE-2016-2324,664,bd64516aca4d4e22acb33c71429d293a14d355cf,True,True,revision.c,show_object_with_name,37,49,11
git/git,CVE-2016-2324,664,bd64516aca4d4e22acb33c71429d293a14d355cf,True,True,builtin/pack-objects.c,record_recent_object,2482,2488,7
git/git,CVE-2016-2324,664,bd64516aca4d4e22acb33c71429d293a14d355cf,True,True,reachable.c,mark_object,46,50,5
git/git,CVE-2016-2324,664,bd64516aca4d4e22acb33c71429d293a14d355cf,True,True,pack-bitmap.c,test_show_object,897,910,12
git/git,CVE-2016-2324,664,bd64516aca4d4e22acb33c71429d293a14d355cf,True,False,revision.h,,-1,-1,-1
git/git,CVE-2016-2324,664,13528ab37cadb4d4f7384d0449489760912904b8,True,True,list-objects.c,traverse_commit_list,184,232,44
git/git,CVE-2016-2324,664,13528ab37cadb4d4f7384d0449489760912904b8,True,True,list-objects.c,process_tree,62,126,59
git/git,CVE-2016-2324,664,13528ab37cadb4d4f7384d0449489760912904b8,True,True,revision.c,path_name,28,35,8
git/git,CVE-2016-2324,664,13528ab37cadb4d4f7384d0449489760912904b8,True,False,revision.h,,-1,-1,-1
git/git,CVE-2016-2324,664,f9fb9d0e3caebe97c54c101d8235e6529d5a1273,True,True,revision.c,show_object_with_name,52,64,11
git/git,CVE-2016-2324,664,207394908e9465d0169608725aeaa5bb355086e0,True,False,revision.c,add_pending_object_with_mode,227,232,6
git/git,CVE-2016-2324,664,207394908e9465d0169608725aeaa5bb355086e0,True,False,revision.c,prepare_revision_walk,2677,2721,41
git/git,CVE-2016-2324,664,207394908e9465d0169608725aeaa5bb355086e0,True,False,revision.c,add_pending_object_with_path,201,225,24
git/git,CVE-2016-2324,664,207394908e9465d0169608725aeaa5bb355086e0,True,False,revision.c,handle_commit,275,355,58
git/git,CVE-2016-2324,664,207394908e9465d0169608725aeaa5bb355086e0,True,True,list-objects.c,traverse_commit_list,188,236,44
git/git,CVE-2016-2324,664,abcb86553d3ec4afffa4e3963089dffe0559740e,True,False,builtin/pack-objects.c,,-1,-1,-1
git/git,CVE-2016-2324,664,abcb86553d3ec4afffa4e3963089dffe0559740e,True,False,builtin/pack-objects.c,loosened_object_can_be_discarded,2421,2431,11
git/git,CVE-2016-2324,664,abcb86553d3ec4afffa4e3963089dffe0559740e,True,False,builtin/pack-objects.c,record_recent_commit,2494,2497,4
git/git,CVE-2016-2324,664,abcb86553d3ec4afffa4e3963089dffe0559740e,True,True,builtin/pack-objects.c,record_recent_object,2486,2492,7
git/git,CVE-2016-2324,664,abcb86553d3ec4afffa4e3963089dffe0559740e,True,False,reachable.c,add_unseen_recent_objects_to_traversal,186,199,12
git/git,CVE-2016-2324,664,abcb86553d3ec4afffa4e3963089dffe0559740e,True,False,builtin/pack-objects.c,get_object_list,2499,2563,56
git/git,CVE-2016-2324,664,5f78a431ab222189b11a9233a5902db61aa32976,True,True,reachable.c,mark_object,106,110,5
git/git,CVE-2016-2324,664,5f78a431ab222189b11a9233a5902db61aa32976,True,True,reachable.c,mark_commit,112,115,4
git/git,CVE-2016-2324,664,5f78a431ab222189b11a9233a5902db61aa32976,True,False,reachable.c,mark_reachable_objects,117,154,19
git/git,CVE-2016-2324,664,5f78a431ab222189b11a9233a5902db61aa32976,True,False,reachable.c,,-1,-1,-1
git/git,CVE-2016-2324,664,7cc8f9710857ed69d34c696330f7fd0367a5a29c,True,False,builtin/pack-objects.c,,-1,-1,-1
git/git,CVE-2016-2324,664,7cc8f9710857ed69d34c696330f7fd0367a5a29c,True,False,pack-bitmap-write.c,bitmap_writer_build,247,325,59
git/git,CVE-2016-2324,664,7cc8f9710857ed69d34c696330f7fd0367a5a29c,True,False,pack-bitmap-write.c,bitmap_writer_set_checksum,493,496,4
git/git,CVE-2016-2324,664,7cc8f9710857ed69d34c696330f7fd0367a5a29c,True,False,pack-bitmap-write.c,add_to_include_set,166,183,15
git/git,CVE-2016-2324,664,7cc8f9710857ed69d34c696330f7fd0367a5a29c,True,False,pack-bitmap-write.c,bitmap_writer_select_commits,384,443,46
git/git,CVE-2016-2324,664,7cc8f9710857ed69d34c696330f7fd0367a5a29c,True,False,pack-bitmap-write.c,find_reused_bitmap,370,382,10
git/git,CVE-2016-2324,664,7cc8f9710857ed69d34c696330f7fd0367a5a29c,True,False,pack-bitmap-write.c,sha1_access,462,466,5
git/git,CVE-2016-2324,664,7cc8f9710857ed69d34c696330f7fd0367a5a29c,True,False,pack-bitmap-write.c,bitmap_writer_finish,498,535,30
git/git,CVE-2016-2324,664,7cc8f9710857ed69d34c696330f7fd0367a5a29c,True,False,pack-bitmap-write.c,mark_as_seen,125,129,5
git/git,CVE-2016-2324,664,7cc8f9710857ed69d34c696330f7fd0367a5a29c,True,False,builtin/pack-objects.c,write_pack_file,747,875,97
git/git,CVE-2016-2324,664,7cc8f9710857ed69d34c696330f7fd0367a5a29c,True,True,pack-bitmap-write.c,show_object,152,158,7
