project,cve,cwe,commit_sha,is_file_vulnerable,is_function_vulnerable,file_name,function_name,function_start_line,function_end_line,function_nloc
imagemagick/imagemagick,CVE-2016-7522,664,b41f080d52a5ff2d9c235cffac1419b84028bd31,True,False,coders/psd.c,ReadPSDChannelZip,870,992,103
imagemagick/imagemagick,CVE-2016-7522,664,b41f080d52a5ff2d9c235cffac1419b84028bd31,True,False,coders/psd.c,GetPSDRowSize,460,466,7
imagemagick/imagemagick,CVE-2016-7522,664,b41f080d52a5ff2d9c235cffac1419b84028bd31,True,False,coders/psd.c,ConvertPSDCompression,268,281,14
imagemagick/imagemagick,CVE-2016-7522,664,b41f080d52a5ff2d9c235cffac1419b84028bd31,True,False,coders/psd.c,ReadPSDChannel,994,1049,48
imagemagick/imagemagick,CVE-2016-7522,664,b41f080d52a5ff2d9c235cffac1419b84028bd31,True,False,coders/psd.c,,-1,-1,-1
imagemagick/imagemagick,CVE-2016-7522,664,b41f080d52a5ff2d9c235cffac1419b84028bd31,True,False,coders/psd.c,ReadPSDLayer,1051,1137,72
imagemagick/imagemagick,CVE-2016-7522,664,b41f080d52a5ff2d9c235cffac1419b84028bd31,True,False,coders/psd.c,GetPSDPacketSize,437,451,14
imagemagick/imagemagick,CVE-2016-7522,664,b41f080d52a5ff2d9c235cffac1419b84028bd31,True,False,coders/psd.c,ReadPSDChannelRLE,794,868,61
imagemagick/imagemagick,CVE-2016-7522,664,b41f080d52a5ff2d9c235cffac1419b84028bd31,True,False,coders/psd.c,ReadPSDChannelRaw,727,769,34
imagemagick/imagemagick,CVE-2016-7522,664,b41f080d52a5ff2d9c235cffac1419b84028bd31,True,False,coders/psd.c,ReadPSDChannelPixels,605,725,114
imagemagick/imagemagick,CVE-2016-7522,664,b41f080d52a5ff2d9c235cffac1419b84028bd31,True,False,coders/psd.c,ReadPSDRLEOffsets,771,792,20
imagemagick/imagemagick,CVE-2016-7522,664,b41f080d52a5ff2d9c235cffac1419b84028bd31,True,True,coders/psd.c,ReadPSDImage,1557,1782,181
imagemagick/imagemagick,CVE-2016-7522,664,b41f080d52a5ff2d9c235cffac1419b84028bd31,True,False,coders/psd.c,ReadPSDMergedImage,1498,1555,47
imagemagick/imagemagick,CVE-2016-7522,664,b41f080d52a5ff2d9c235cffac1419b84028bd31,True,False,coders/psd.c,ReadPSDLayers,1139,1496,302
imagemagick/imagemagick,CVE-2016-7522,664,b41f080d52a5ff2d9c235cffac1419b84028bd31,True,False,coders/psd.c,CorrectPSDOpacity,283,316,29
imagemagick/imagemagick,CVE-2016-4564,664,9cdadd93510445e657e40e7877f2d85279683049,True,True,MagickCore/draw.c,DrawImage,1664,3175,1429
