project,cve,cwe,commit_sha,is_file_vulnerable,is_function_vulnerable,file_name,function_name,function_start_line,function_end_line,function_nloc
libraw/libraw,CVE-2017-6887,664,7ed16d4d5f039f009dd84e99f98ee5b7f2bdabc8,True,False,internal/dcraw_common.cpp,parse_gps_libraw( int base),10710,10756,46
libraw/libraw,CVE-2017-6887,664,7ed16d4d5f039f009dd84e99f98ee5b7f2bdabc8,True,False,internal/dcraw_common.cpp,parse_broadcom(),2570,2608,35
libraw/libraw,CVE-2017-6887,664,7ed16d4d5f039f009dd84e99f98ee5b7f2bdabc8,True,False,internal/dcraw_common.cpp,sinar_4shot_load_raw(),2435,2484,43
libraw/libraw,CVE-2017-6887,664,7ed16d4d5f039f009dd84e99f98ee5b7f2bdabc8,True,False,dcraw/dcraw.c,lossless_jpeg_load_raw(),1240,1308,54
libraw/libraw,CVE-2017-6887,664,7ed16d4d5f039f009dd84e99f98ee5b7f2bdabc8,True,False,internal/dcraw_common.cpp,samsung_load_raw(),3963,4005,40
libraw/libraw,CVE-2017-6887,664,7ed16d4d5f039f009dd84e99f98ee5b7f2bdabc8,True,False,internal/dcraw_common.cpp,remove_zeroes(),4457,4480,18
libraw/libraw,CVE-2017-6887,664,7ed16d4d5f039f009dd84e99f98ee5b7f2bdabc8,True,False,dcraw/dcraw.c,my_roundf( float x),7808,7825,18
libraw/libraw,CVE-2017-6887,664,7ed16d4d5f039f009dd84e99f98ee5b7f2bdabc8,True,False,dcraw/dcraw.c,"cielab( ushort rgb [ 3 ] , short lab [ 3 ])",6876,6920,33
libraw/libraw,CVE-2017-6887,664,7ed16d4d5f039f009dd84e99f98ee5b7f2bdabc8,True,False,dcraw/dcraw.c,"crw_init_tables( unsigned table , ushort * huff [ 2 ])",916,961,46
libraw/libraw,CVE-2017-6887,664,7ed16d4d5f039f009dd84e99f98ee5b7f2bdabc8,True,False,dcraw/dcraw.c,remove_zeroes(),5571,5594,18
libraw/libraw,CVE-2017-6887,664,7ed16d4d5f039f009dd84e99f98ee5b7f2bdabc8,True,False,dcraw/dcraw.c,parse_gps_libraw( int base),12032,12078,46
libraw/libraw,CVE-2017-6887,664,7ed16d4d5f039f009dd84e99f98ee5b7f2bdabc8,True,False,internal/dcraw_common.cpp,"local_strnlen( const char * s , size_t n)",48,52,5
libraw/libraw,CVE-2017-6887,664,7ed16d4d5f039f009dd84e99f98ee5b7f2bdabc8,True,False,dcraw/dcraw.c,kodak_ycbcr_load_raw(),3955,3992,35
libraw/libraw,CVE-2017-6887,664,7ed16d4d5f039f009dd84e99f98ee5b7f2bdabc8,True,False,dcraw/dcraw.c,ljpeg_idct( struct jhead * jh),1504,1539,34
libraw/libraw,CVE-2017-6887,664,7ed16d4d5f039f009dd84e99f98ee5b7f2bdabc8,True,False,dcraw/dcraw.c,"my_memmem( char * haystack , size_t haystacklen , char * needle , size_t needlelen)",325,332,8
libraw/libraw,CVE-2017-6887,664,7ed16d4d5f039f009dd84e99f98ee5b7f2bdabc8,True,False,internal/dcraw_common.cpp,getreal( int type),220,256,36
libraw/libraw,CVE-2017-6887,664,7ed16d4d5f039f009dd84e99f98ee5b7f2bdabc8,True,False,internal/dcraw_common.cpp,"getwords( char * line , char * words [ ] , int maxwords , int maxlen)",102,123,21
libraw/libraw,CVE-2017-6887,664,7ed16d4d5f039f009dd84e99f98ee5b7f2bdabc8,True,False,dcraw/dcraw.c,"foveon_camf_param( const char * block , const char * param)",4881,4906,25
libraw/libraw,CVE-2017-6887,664,7ed16d4d5f039f009dd84e99f98ee5b7f2bdabc8,True,False,dcraw/dcraw.c,"fMAX( float a , float b)",223,223,1
