project,cve,cwe,commit_sha,is_file_vulnerable,is_function_vulnerable,file_name,function_name,function_start_line,function_end_line,function_nloc
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,writeBufferToContigTiles,1184,1254,61
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,process_command_opts,1532,2023,465
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,reverseSamples24bits,8647,8740,82
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,writeBufferToContigStrips,1088,1109,20
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,combineSeparateTileSamples8bits,4319,4415,85
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,processCompressOptions,1343,1409,63
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,rotateImage,8216,8495,268
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,readContigTilesIntoBuffer,753,939,166
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,combineSeparateSamples32bits,4102,4255,138
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,,-1,-1,-1
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,writeSingleSection,6890,7145,209
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,extractImageSection,6507,6722,169
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,writeBufferToSeparateStrips,1120,1179,54
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,combineSeparateTileSamples16bits,4418,4533,101
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,reverseSamples32bits,8744,8866,111
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,combineSeparateTileSamples32bits,4673,4826,138
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,usage,1412,1422,10
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,computeInputPixelOffsets,5141,5414,239
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,writeBufferToSeparateTiles,1259,1320,54
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,combineSeparateSamples8bits,3747,3844,86
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,extractSeparateRegion,6384,6504,111
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,combineSeparateTileSamples24bits,4536,4670,117
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,readSeparateStripsIntoBuffer,4829,5005,155
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,reverseSamples8bits,8498,8559,56
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,extractContigSamplesToBuffer,3505,3578,69
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,writeCroppedImage,7557,7809,211
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,True,tools/tiffcrop.c,readContigStripsIntoBuffer,3657,3686,27
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,combineSeparateTileSamplesBytes,4258,4316,53
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,main,2085,2374,237
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,mirrorImage,8918,9027,105
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,combineSeparateSamples24bits,3965,4099,117
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,combineSeparateSamplesBytes,3689,3744,51
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,extractCompositeRegions,6136,6370,220
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,readSeparateTilesIntoBuffer,941,1086,132
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,reverseSamples16bits,8563,8644,73
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,combineSeparateSamples16bits,3847,3962,101
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,extractContigSamplesToTileBuffer,3581,3655,68
vadz/libtiff,CVE-2016-10271,664,6b6496bb513826866bfd5fdc71f81566b7e5e924,True,False,tools/tiffcrop.c,loadImage,5856,6080,202
vadz/libtiff,CVE-2016-10270,664,d651abc097d91fac57f33b5f9447d0a9183f58e7,True,True,libtiff/tif_strip.c,TIFFNumberOfStrips,61,81,13
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_dirwrite.c,TIFFWriteDirectoryTagCheckedDoubleArray,1651,1659,9
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_dirwrite.c,TIFFWriteDirectoryTagCheckedDouble,1639,1648,10
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_dir.h,,-1,-1,-1
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_strip.c,TIFFVStripSize64,117,160,36
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_strip.c,TIFFRawStripSize64,181,196,14
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_strip.c,TIFFRasterScanlineSize,382,395,14
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_write.c,TIFFGrowStrips,596,624,28
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_jpeg.c,JPEGInitializeLibJPEG,2057,2120,48
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_strip.c,TIFFRasterScanlineSize64,366,380,14
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,TIFFReadCustomDirectory,3817,3918,100
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,TIFFReadDirEntryCheckRangeSshortLong8,2975,2981,7
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_read.c,TIFFFillStrip,260,353,62
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,TIFFReadDirEntrySlong8Array,1884,2037,154
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,TIFFReadDirEntryLongArray,1388,1555,168
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,TIFFReadDirEntryCheckedSrational,2731,2758,28
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_tile.c,TIFFTileRowSize64,183,196,13
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,TIFFReadDirEntryCheckRangeByteSlong8,2839,2845,7
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_dirwrite.c,TIFFWriteDirectoryTagIfd8Array,1093,1101,9
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,TIFFReadDirEntryCheckRangeLongSlong8,3023,3029,7
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tiffio.h,,-1,-1,-1
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,TIFFReadDirEntryCheckRangeSshortSlong8,2983,2989,7
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_dirwrite.c,TIFFWriteDirectoryTagCheckedIfd8Array,1672,1680,9
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,TIFFReadDirEntryLong,254,335,82
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,TIFFReadDirEntryCheckedRational,2703,2729,27
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_dirwrite.c,TIFFWriteDirectoryTagLong8Array,926,934,9
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_dirwrite.c,TIFFWriteDirectoryTagCheckedLong8,1438,1447,10
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_strip.c,TIFFRawStripSize,198,216,19
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,TIFFReadDirEntryCheckRangeLong8Slong8,3079,3085,7
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_dir.c,_TIFFVSetField,139,619,422
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_win32.c,_tiffWriteProc,47,55,8
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_dirwrite.c,TIFFLinkDirectory,1755,1941,157
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,TIFFReadDirEntryCheckRangeShortSlong8,2943,2949,7
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,TIFFReadDirEntryDoubleArray,2271,2501,231
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,TIFFReadDirEntryFloat,415,515,101
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tiff.h,,-1,-1,-1
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,TIFFReadDirEntryCheckRangeSlongLong8,3039,3045,7
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_dirwrite.c,TIFFWriteDirectoryTagSubifd,1255,1309,47
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_ojpeg.c,,-1,-1,-1
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_win32.c,_tiffSeekProc,58,83,24
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,TIFFReadEXIFDirectory,3925,3932,8
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_dir.c,TIFFSetDirectory,1280,1305,16
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_print.c,TIFFPrintDirectory,195,600,382
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_swab.c,TIFFSwabArrayOfLong8,122,136,13
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,TIFFReadDirEntryByteArray,689,868,180
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,TIFFReadDirEntrySshortArray,1221,1386,166
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_strip.c,TIFFStripSize,236,249,14
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_dirwrite.c,TIFFWriteDirectoryTagSlong8,937,945,9
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,TIFFReadDirEntryCheckedLong8,2663,2681,19
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tiffiop.h,,-1,-1,-1
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_dirwrite.c,TIFFWriteDirectoryTagData,1683,1749,67
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,TIFFReadDirEntryArray,629,687,59
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,TIFFReadDirEntryCheckRangeSlong8Long8,3087,3093,7
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,EstimateStripByteCounts,3935,4012,67
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_dirwrite.c,TIFFWriteDirectoryTagSlong8Array,948,956,9
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_write.c,TIFFSetupStrips,446,476,26
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,TIFFReadDirEntrySlongArray,1557,1716,160
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_strip.c,multiply_64,61,71,9
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,TIFFFetchDirectory,4094,4333,223
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_strip.c,TIFFVStripSize,162,175,14
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,TIFFReadDirEntryCheckRangeLongLong8,3015,3021,7
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,TIFFReadDirEntryCheckRangeShortLong8,2935,2941,7
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,TIFFReadDirEntryPersampleShort,2569,2595,27
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,TIFFReadDirEntryCheckRangeByteLong8,2831,2837,7
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,TIFFReadDirEntryIfd8Array,2503,2567,65
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_read.c,TIFFFillTile,489,570,56
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_dir.c,TIFFUnlinkDirectory,1348,1418,49
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_dir.c,TIFFNumberOfDirectories,1261,1273,13
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_jpeg.c,,-1,-1,-1
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_read.c,TIFFReadRawStrip,216,253,37
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_strip.c,TIFFScanlineSize64,298,342,45
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_read.c,TIFFReadBufferSetup,582,611,29
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_jpeg.c,JPEGFixupTagsSubsamplingReadByte,834,860,27
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_dirread.c,TIFFFetchNormalTag,4339,4937,599
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,False,False,libtiff/tif_dirwrite.c,TIFFWriteDirectoryTagCheckedLong8Array,1450,1458,9
vadz/libtiff,CVE-2016-10270,664,8abfb62289fa8a1b6175255c9d271a7e38ce10e4,True,False,libtiff/tif_strip.c,_TIFFDefaultStripSize,264,285,17
