project,cve,cwe,commit_sha,is_file_vulnerable,is_function_vulnerable,file_name,function_name,function_start_line,function_end_line,function_nloc
wolfssl/wolfssl,CVE-2018-12436,664,5180cf4cce6dde46237b9b6f62eb266049caa822,True,True,wolfcrypt/src/ecc.c,wc_ecc_sign_hash_ex,3434,3601,110
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,True,True,wolfcrypt/src/ecc.c,wc_ecc_gen_k,2926,2971,25
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,True,False,wolfcrypt/src/ecc.c,wc_ecc_encrypt,7071,7228,123
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,True,False,wolfcrypt/src/ecc.c,wc_ecc_export_x963,4393,4473,48
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,True,False,wolfcrypt/src/ecc.c,wc_ecc_decrypt,7234,7399,128
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,True,False,wolfcrypt/src/ecc.c,wc_X963_KDF,7828,7925,63
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,True,False,wolfcrypt/src/ecc.c,wc_ecc_export_point_der,4316,4389,43
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,True,False,wolfcrypt/src/ecc.c,accel_fp_mul,6182,6327,101
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,True,False,wolfcrypt/src/ecc.c,accel_fp_mul2add,6331,6563,171
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,True,False,wolfcrypt/src/ecc.c,ecc_mul2add,3638,3841,148
wolfssl/wolfssl,CVE-2018-12436,664,6cc1fd293e70023460fbb28bb97457e1ba488442,True,False,wolfcrypt/src/ecc.c,wc_ecc_verify_hash_ex,3607,3789,115
wolfssl/wolfssl,CVE-2018-12436,664,6cc1fd293e70023460fbb28bb97457e1ba488442,True,False,wolfcrypt/src/ecc.c,wc_ecc_shared_secret_gen,2558,2581,18
wolfssl/wolfssl,CVE-2018-12436,664,6cc1fd293e70023460fbb28bb97457e1ba488442,True,False,wolfcrypt/src/ecc.c,ecc_check_privkey_gen,4191,4240,39
wolfssl/wolfssl,CVE-2018-12436,664,6cc1fd293e70023460fbb28bb97457e1ba488442,True,False,wolfcrypt/src/ecc.c,wc_ecc_curve_load_item,1053,1074,16
wolfssl/wolfssl,CVE-2018-12436,664,6cc1fd293e70023460fbb28bb97457e1ba488442,True,True,wolfcrypt/src/ecc.c,wc_ecc_sign_hash_ex,3113,3218,67
wolfssl/wolfssl,CVE-2018-12436,664,6cc1fd293e70023460fbb28bb97457e1ba488442,True,False,wolfcrypt/src/ecc.c,ecc_check_privkey_gen_helper,4245,4273,14
wolfssl/wolfssl,CVE-2018-12436,664,6cc1fd293e70023460fbb28bb97457e1ba488442,True,False,wolfcrypt/src/ecc.c,_wc_ecc_curve_free,1020,1042,19
wolfssl/wolfssl,CVE-2018-12436,664,6cc1fd293e70023460fbb28bb97457e1ba488442,True,False,wolfcrypt/src/ecc.c,wc_ecc_curve_load,1076,1156,59
wolfssl/wolfssl,CVE-2018-12436,664,6cc1fd293e70023460fbb28bb97457e1ba488442,True,False,wolfcrypt/src/ecc.c,wc_ecc_curve_cache_free,1159,1171,11
wolfssl/wolfssl,CVE-2018-12436,664,6cc1fd293e70023460fbb28bb97457e1ba488442,True,False,wolfcrypt/src/ecc.c,wc_ecc_curve_free,1044,1051,5
wolfssl/wolfssl,CVE-2018-12436,664,6cc1fd293e70023460fbb28bb97457e1ba488442,True,False,wolfcrypt/src/ecc.c,wc_ecc_shared_secret_gen_sync,2523,2555,27
wolfssl/wolfssl,CVE-2018-12436,664,6cc1fd293e70023460fbb28bb97457e1ba488442,True,False,wolfcrypt/src/ecc.c,wc_ecc_check_key,4306,4347,20
wolfssl/wolfssl,CVE-2018-12436,664,6cc1fd293e70023460fbb28bb97457e1ba488442,True,False,wolfcrypt/src/ecc.c,,-1,-1,-1
wolfssl/wolfssl,CVE-2018-12436,664,6cc1fd293e70023460fbb28bb97457e1ba488442,True,False,wolfcrypt/src/ecc.c,wc_ecc_import_x963_ex,4351,4498,94
wolfssl/wolfssl,CVE-2018-12436,664,6cc1fd293e70023460fbb28bb97457e1ba488442,True,False,wolfcrypt/src/ecc.c,wc_ecc_make_key_ex,2711,2826,72
wolfssl/wolfssl,CVE-2018-12436,664,f1ead309872c7f919bc1386d51f054a9d2644479,True,False,wolfcrypt/src/ecc.c,wc_ecc_verify_hash_ex,3500,3682,116
wolfssl/wolfssl,CVE-2018-12436,664,f1ead309872c7f919bc1386d51f054a9d2644479,True,False,wolfcrypt/src/ecc.c,wc_ecc_make_key_ex,2604,2719,72
wolfssl/wolfssl,CVE-2018-12436,664,f1ead309872c7f919bc1386d51f054a9d2644479,True,False,wolfcrypt/src/ecc.c,wc_ecc_shared_secret_gen,2451,2474,18
wolfssl/wolfssl,CVE-2018-12436,664,f1ead309872c7f919bc1386d51f054a9d2644479,True,False,wolfcrypt/src/ecc.c,wc_ecc_sign_hash,2882,2993,77
wolfssl/wolfssl,CVE-2018-12436,664,f1ead309872c7f919bc1386d51f054a9d2644479,True,False,wolfcrypt/src/ecc.c,wc_ecc_mulmod_ex,1824,2169,239
wolfssl/wolfssl,CVE-2018-12436,664,f1ead309872c7f919bc1386d51f054a9d2644479,True,True,wolfcrypt/src/ecc.c,wc_ecc_gen_k,2551,2601,27
wolfssl/wolfssl,CVE-2018-12436,664,f1ead309872c7f919bc1386d51f054a9d2644479,True,False,wolfcrypt/src/ecc.c,wc_ecc_shared_secret_gen_sync,2416,2448,27
wolfssl/wolfssl,CVE-2018-12436,664,f1ead309872c7f919bc1386d51f054a9d2644479,True,False,wolfcrypt/src/ecc.c,wc_ecc_check_key,4199,4240,20
wolfssl/wolfssl,CVE-2018-12436,664,f1ead309872c7f919bc1386d51f054a9d2644479,True,False,wolfcrypt/src/ecc.c,ecc_check_privkey_gen,4084,4133,39
wolfssl/wolfssl,CVE-2018-12436,664,f1ead309872c7f919bc1386d51f054a9d2644479,True,False,wolfcrypt/src/ecc.c,,-1,-1,-1
wolfssl/wolfssl,CVE-2018-12436,664,f1ead309872c7f919bc1386d51f054a9d2644479,True,True,wolfcrypt/src/ecc.c,wc_ecc_sign_hash_ex,3006,3111,67
wolfssl/wolfssl,CVE-2018-12436,664,f1ead309872c7f919bc1386d51f054a9d2644479,True,False,wolfcrypt/src/ecc.c,ecc_check_pubkey_order,4172,4193,18
wolfssl/wolfssl,CVE-2018-12436,664,f1ead309872c7f919bc1386d51f054a9d2644479,True,False,wolfcrypt/src/ecc.c,wc_ecc_free,3119,3144,16
wolfssl/wolfssl,CVE-2018-12436,664,f1ead309872c7f919bc1386d51f054a9d2644479,True,False,wolfcrypt/src/ecc.c,wc_ecc_verify_hash,3396,3486,62
wolfssl/wolfssl,CVE-2018-12436,664,f1ead309872c7f919bc1386d51f054a9d2644479,True,False,wolfcrypt/src/ecc.c,wc_ecc_shared_secret_ex,2485,2533,35
wolfssl/wolfssl,CVE-2018-12436,664,f1ead309872c7f919bc1386d51f054a9d2644479,True,False,wolfcrypt/src/ecc.c,wc_ecc_init_ex,2810,2862,31
wolfssl/wolfssl,CVE-2018-12436,664,f1ead309872c7f919bc1386d51f054a9d2644479,True,False,wolfcrypt/src/ecc.c,wc_ecc_export_x963,3891,3971,48
wolfssl/wolfssl,CVE-2018-12436,664,f1ead309872c7f919bc1386d51f054a9d2644479,True,False,wolfcrypt/src/ecc.c,wc_ecc_free_rs,2791,2807,13
wolfssl/wolfssl,CVE-2018-12436,664,f1ead309872c7f919bc1386d51f054a9d2644479,True,False,wolfcrypt/src/ecc.c,ecc_check_privkey_gen_helper,4138,4166,14
wolfssl/wolfssl,CVE-2018-12436,664,f1ead309872c7f919bc1386d51f054a9d2644479,True,False,wolfcrypt/src/ecc.c,wc_ecc_curve_free,970,993,19
