project,cve,cwe,commit_sha,is_file_vulnerable,is_function_vulnerable,file_name,function_name,function_start_line,function_end_line,function_nloc
wolfssl/wolfssl,CVE-2018-12436,664,5180cf4cce6dde46237b9b6f62eb266049caa822,True,True,wolfcrypt/src/ecc.c,wc_ecc_sign_hash_ex,3434,3601,110
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,False,False,src/internal.c,FreeHandshakeResources,4681,4819,84
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,True,True,wolfcrypt/src/ecc.c,wc_ecc_gen_k,2926,2971,25
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,False,False,wolfcrypt/src/pkcs12.c,freeCertList,644,663,17
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,False,False,src/internal.c,BuildSHA_CertVerify,11880,11919,29
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,False,False,src/internal.c,SendCertificateStatus,12793,13141,238
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,False,False,src/crl.c,FreeCRL_Entry,128,146,16
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,True,False,wolfcrypt/src/ecc.c,wc_ecc_encrypt,7071,7228,123
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,False,False,src/ssl.c,wolfSSL_DH_generate_key,18185,18275,72
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,True,False,wolfcrypt/src/ecc.c,wc_ecc_export_x963,4393,4473,48
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,False,False,wolfcrypt/src/asn.c,GetRevoked,11227,11280,38
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,False,False,src/tls.c,TLSX_KeyShare_GenEccKey,4707,4860,105
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,False,False,src/internal.c,BuildMD5_CertVerify,11836,11875,29
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,False,False,src/internal.c,BuildFinished,6448,6503,26
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,False,False,src/internal.c,DoCertificateStatus,8553,8758,136
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,True,False,wolfcrypt/src/ecc.c,wc_ecc_decrypt,7234,7399,128
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,False,False,src/internal.c,DoServerKeyExchange,16484,17420,695
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,False,False,src/tls.c,TLSX_KeyShare_Establish,5674,5747,51
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,False,False,src/ssl.c,wolfSSL_set_tmp_dh,15927,15965,28
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,False,False,src/internal.c,QSH_GenerateSerCliSecret,17670,17761,73
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,False,False,src/tls13.c,DeriveTls13Keys,958,1076,92
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,False,False,src/ssl.c,wolfSSL_PEM_read_bio_DHparams,23053,23171,99
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,False,False,wolfcrypt/src/pkcs12.c,GetSignData,326,454,90
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,True,False,wolfcrypt/src/ecc.c,wc_X963_KDF,7828,7925,63
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,False,False,src/ssl.c,wolfSSL_d2i_PKCS12_bio,15049,15095,40
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,False,False,wolfcrypt/src/pkcs12.c,GetSafeContent,176,322,115
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,False,False,src/internal.c,FreeSskeArgs,19798,19823,18
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,False,False,src/tls.c,TLSX_KeyShareEntry_Parse,5266,5299,25
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,False,False,src/tls.c,TLSX_KeyShare_Use,5477,5532,43
wolfssl/wolfssl,CVE-2018-12436,664,68439d431759a379bdf77f4791e88f9e6bd125bb,False,False,src/internal.c,SendServerKeyExchange,19825,21209,987
